Especie,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Ajipa,  868 ,  922 ,  705 ,  685 ,  1.131 ,  5.154 ,  3.430 ,  5.462 ,  11.519 ,  7.637 ,  3.607 ,  5.261 ,  2.080 ,  994 ,  3.296 ,  6.069 ,  9.684 ,  7.628 ,  5.011 ,  5.854 
Aliso,  5.088 ,  1.242 ,  4.647 ,  1.917 ,  352 ,  982 ,  2.386 ,  4.431 ,  6.067 ,  -   ,  14.153 ,  9.635 ,  5.100 ,  13.935 ,  17.421 ,  29.073 ,  27.766 ,  36.109 ,  29.971 ,  40.674 
Almendrillo,  18.081 ,  14.864 ,  9.766 ,  21.455 ,  7.278 ,  24.191 ,  24.775 ,  44.842 ,  72.699 ,  -   ,  110.323 ,  56.432 ,  77.980 ,  76.819 ,  66.269 ,  64.584 ,  72.587 ,  55.434 ,  68.029 ,  53.198 
Almendrillo Amarillo,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  5.765 ,  82.341 ,  -   ,  9.869 ,  16.194 ,  20.191 ,  29.118 ,  25.829 ,  23.204 ,  18.060 ,  20.497 ,  20.195 
Almendrillo Negro,  -   ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  7.484 ,  11.876 ,  -   ,  9.451 ,  24.526 ,  17.543 ,  18.139 ,  23.916 ,  24.737 ,  26.593 ,  17.139 ,  20.086 
Bibosi,  19.722 ,  17.786 ,  7.612 ,  17.763 ,  8.701 ,  23.741 ,  21.654 ,  33.286 ,  33.196 ,  34.538 ,  25.197 ,  16.098 ,  24.796 ,  38.146 ,  62.088 ,  67.095 ,  74.375 ,  71.569 ,  73.724 ,  79.791 
Bitumbo,  -   ,  -   ,  -   ,  8 ,  -   ,  541 ,  537 ,  95 ,  7.042 ,  7.951 ,  681 ,  13.863 ,  4.205 ,  14.856 ,  16.395 ,  15.268 ,  5.003 ,  6.946 ,  6.275 ,  6.317 
Cachichira,  1.896 ,  4.577 ,  5.444 ,  1.501 ,  3.710 ,  3.990 ,  9.537 ,  9.613 ,  6.679 ,  5.491 ,  2.432 ,  6.187 ,  9.670 ,  8.439 ,  12.219 ,  14.539 ,  14.851 ,  15.804 ,  15.446 ,  11.470 
Cambara,  11.449 ,  27.790 ,  6.229 ,  15.400 ,  80 ,  6.266 ,  8.414 ,  15.246 ,  8.260 ,  12.294 ,  12.005 ,  9.735 ,  18.440 ,  7.548 ,  17.539 ,  18.132 ,  21.723 ,  17.275 ,  20.486 ,  15.808 
Cedro,  103.191 ,  52.187 ,  61.929 ,  32.406 ,  20.166 ,  19.932 ,  41.325 ,  35.569 ,  24.011 ,  19.721 ,  24.545 ,  18.938 ,  22.129 ,  9.988 ,  10.665 ,  14.649 ,  15.645 ,  16.726 ,  12.690 ,  17.486 
Coloradillo,  830 ,  1.315 ,  676 ,  1.192 ,  949 ,  6.332 ,  3.478 ,  5.102 ,  6.057 ,  2.116 ,  2.218 ,  1.937 ,  2.373 ,  1.232 ,  2.182 ,  3.352 ,  3.079 ,  2.568 ,  1.594 ,  1.908 
Copaibo,  1.959 ,  3.176 ,  1.875 ,  4.403 ,  2.916 ,  4.805 ,  5.267 ,  7.404 ,  10.072 ,  10.875 ,  7.146 ,  4.095 ,  11.862 ,  5.957 ,  8.216 ,  7.773 ,  9.047 ,  8.075 ,  8.367 ,  6.521 
