,Chuquisaca,La Paz,Cochabamba,Oruro,Potosí,Tarija,Santa Cruz,Beni,Pando
0,3.551,42.605,113.273,  - ,  - ,11.134,319.013,184.849,84.017
1,2.965,24.934,76.520,  - ,  - ,12.580,264.866,83.358,37.622
2,  - ,  27.457 ,39.182,  - ,  - ,  - ,230.999,159.579,38.581
3,9.435,24.978,81.134,  - ,  - ,1.695,340.969,63.119,37.475
4,474,40.191,11.447,  - ,  - ,1.023,484.031,21.839,22.777
5,7.431,180.563,55.713,  - ,  - ,29.021,337.632,58.305,25.168
6,9.787,99.182,40.435,  - ,  - ,1.093,415.857,115.695,47.378
7,12.723,144.770,43.862,  - ,  - ,14.366,462.150,101.254,83.670
8,14.923,306.701,87.673,  - ,  - ,12.845,387.604,78.747,91.275
9,13.234,243.185,82.185,  - ,  - ,15.123,554.217,54.139,126.655
10,9.610,174.236,67.353,  - ,  - ,18.967,529.744,104.326,155.110
11,17.948,188.043,58.846,  - ,  - ,18.189,146.720,215.236,39.216
12,27.323,160.123,72.938,  - ,  - ,29.110,539.058,127.574,82.917
13,5.222,151.921,30.138,  - ,  - ,7.481,600.341,275.937,60.520
14,4.051,190.984,52.655,  - ,  - ,13.341,782.297,347.393,84.629
15,3.997,236.477,76.556,  - ,  - ,6.195,839.336,396.551,85.764
16,3.681,295.421,87.381,  - ,  - ,10.889,873.814,266.895,161.367
17,2.044,276.170,54.328,  - ,  - ,15.115,897.255,210.949,178.834
18,2.546,233.076,65.399,  - ,  - ,10.801,793.906,160.801,125.679
19,3.664,212.668,44.968,  409 ,  236 ,11.188,755.198,147.784,169.655
